Unnamed: 0,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
1330,0.918092105263158,0.9192718719640028,0.9076897352588352,0.8897924866715975,0.9276422764227644,clean1,5,NB,True,10
1331,0.928640350877193,0.9281299839054096,0.9183776316367236,0.9154635661263444,0.9229965156794424,clean1,5,NB,False,10
1332,0.9033333333333332,0.904751191267528,0.8909414751708125,0.8682244925439807,0.9171893147502904,clean1,0,NB,True,20
1333,0.884451754385965,0.8869682515333688,0.8714951714951715,0.8388972575885763,0.9075493612078978,clean1,0,NB,False,20
1334,0.8970394736842107,0.8982649008880026,0.8844860925182211,0.8629779158040028,0.9081300813008132,clean1,1,NB,True,20
1335,0.8781798245614034,0.881609556436984,0.8668218238669676,0.829409899327565,0.908362369337979,clean1,1,NB,False,20
1336,0.9095833333333332,0.9117596427536604,0.8990035564787713,0.8731589147286822,0.9276422764227644,clean1,2,NB,True,20
1337,0.8886184210526317,0.8921248511676492,0.8774970956258457,0.8429455041082947,0.9180023228803716,clean1,2,NB,False,20
1338,0.8948903508771929,0.8963894306508206,0.8844001292526429,0.863135004797253,0.908362369337979,clean1,3,NB,True,20
1339,0.8823026315789475,0.8841389150639035,0.8700852553298702,0.8438446742108295,0.8986062717770034,clean1,3,NB,False,20
1340,0.8949780701754386,0.8963899176278375,0.8815110071686411,0.8597879715890601,0.90801393728223,clean1,4,NB,True,20
1341,0.8697587719298246,0.8718190052520471,0.8540540973392629,0.8234653750792826,0.8885017421602788,clean1,4,NB,False,20
1342,0.9034429824561404,0.9052388987501736,0.8914203895577666,0.8684267834129074,0.9182346109175376,clean1,5,NB,True,20
1343,0.8865570175438597,0.8897438987866968,0.8749667361417209,0.8424132253295065,0.9132404181184668,clean1,5,NB,False,20
1344,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,True,1
1345,1.0,1.0,1.0,1.0,1.0,clean1,0,DT,False,1
1346,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,True,1
1347,1.0,1.0,1.0,1.0,1.0,clean1,1,DT,False,1
1348,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,True,1
1349,1.0,1.0,1.0,1.0,1.0,clean1,2,DT,False,1
1350,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,True,1
1351,1.0,1.0,1.0,1.0,1.0,clean1,3,DT,False,1
1352,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,True,1
1353,1.0,1.0,1.0,1.0,1.0,clean1,4,DT,False,1
