Unnamed: 0,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,diff_test_accuracy,diff_test_balanced_accuracy,diff_test_f1,diff_test_precision,diff_test_recall
112.0,ring,DT,feat,0.0128378378378378,0.0128249240709997,0.0133634993622923,0.0125228189785494,0.0141900937081659,,,,,
113.0,ring,DT,feat,-0.0043243243243245,-0.0043608496257331,-0.0028741186358182,-0.0052149798779015,-0.0002666638031626,,,,,
114.0,ring,RF,feat,-1.1102230246251563e-16,7.159150471824915e-05,-0.0022076400007187,0.0022690362626728,-0.0074966532797857,,,,,
115.0,ring,RF,feat,0.0095945945945946,0.0096027527207535,0.0085060665989304,0.0091818748905617,0.0077554424471504,,,,,
116.0,ring,RF,feat,0.0091891891891892,0.0091647707556736,0.009527797420477,0.0071601178951316,0.0120438975151945,,,,,
117.0,ring,RF,feat,0.0118918918918918,0.0118638481415195,0.0123472635309725,0.0094281439874451,0.0158000987908856,,,,,
118.0,ring,RF,feat,0.0025675675675674,0.0026150988675027,0.0009199132343969,0.0037252227302336,-0.0024096385542169,,,,,
119.0,ring,RF,feat,0.0016216216216217,0.0016415516893318,0.0011399546585717,0.0017748212365035,0.0002716749350342,,,,,
120.0,twonorm,KNN,feat,-0.0085135135135137,-0.0085124346021007,-0.0097645209346874,-0.0067112834874253,-0.0129843104268001,,,,,
121.0,twonorm,KNN,feat,-0.0179729729729728,-0.0179691580389536,-0.0163301145834406,-0.0204736807637714,-0.0119028636214021,,,,,
122.0,twonorm,KNN,feat,-0.0216216216216215,-0.0216225458035158,-0.0214089932433733,-0.0215101873771021,-0.0213604944592766,,,,,
123.0,twonorm,KNN,feat,-0.015945945945946,-0.0159556420823424,-0.0167489440793617,-0.0150663046359171,-0.0186713235563033,,,,,
124.0,twonorm,KNN,feat,-0.0140540540540541,-0.0140471289826749,-0.0146196798802321,-0.0135081136754573,-0.0156793329188457,,,,,
125.0,twonorm,KNN,feat,-0.0097297297297297,-0.0097209765303205,-0.0080937284165278,-0.012048729326893,-0.004054419778371,,,,,
