,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,task
1751,0.652377972465582,0.6376021231343894,0.7445715496093753,0.6042182033762465,0.9700397576675502,chess,5,NB,hyperparameter
1752,0.9946808510638298,0.9946314370081448,0.9949108787346944,0.9940290621848532,0.9958090943513132,chess,0,DT,hyperparameter
1753,0.9943679599499374,0.9942710183858638,0.9946250055060496,0.992871227826945,0.996405746216424,chess,1,DT,hyperparameter
1754,0.9934292866082604,0.9933484254353714,0.9937204461273472,0.99224338227873,0.995208139708329,chess,2,DT,hyperparameter
1755,0.9918648310387984,0.9918235937963864,0.9922140797537888,0.991640741715902,0.9928129266921392,chess,3,DT,hyperparameter
1756,0.991551939924906,0.9915505898987548,0.9919017777335448,0.9921974293354804,0.9916210572212087,chess,4,DT,hyperparameter
1757,0.9909261576971214,0.9906991486140824,0.9913466257693762,0.9869342520416904,0.9958047915734398,chess,5,DT,hyperparameter
1758,0.9890488110137672,0.9889306374626978,0.9895352792211876,0.9874658576360624,0.9916167544433352,chess,0,RF,hyperparameter
1759,0.9912390488110138,0.9911628395815788,0.9916337799178376,0.9904984876078836,0.9928071896549746,chess,1,RF,hyperparameter
1760,0.9899874843554444,0.9898027365571253,0.9904504634756436,0.986948899894669,0.9940119674595252,chess,2,RF,hyperparameter
1761,0.9890488110137672,0.9889056073705222,0.9895365336025056,0.9869135344804896,0.9922177090863196,chess,3,RF,hyperparameter
1762,0.9893617021276596,0.9892313982421213,0.989840294732952,0.9875035622422944,0.9922148405677372,chess,4,RF,hyperparameter
1763,0.9899874843554444,0.9898569493055668,0.9904341853926556,0.9880710468403596,0.992811492432848,chess,5,RF,hyperparameter
1764,0.9499374217772216,0.9491980489328292,0.952704651713116,0.9399959732827112,0.9658474177595722,kr_vs_kp,0,KNN,hyperparameter
1765,0.9508760951188986,0.9499623064158704,0.9537456759699104,0.9374764775097744,0.9706550549034456,kr_vs_kp,1,KNN,hyperparameter
1766,0.9515018773466832,0.9510554700878844,0.9539208121428504,0.9469556196960316,0.9610526889493192,kr_vs_kp,2,KNN,hyperparameter
1767,0.9565081351689612,0.955771814916132,0.9589349074528584,0.9458512264231832,0.972443576239487,kr_vs_kp,3,KNN,hyperparameter
1768,0.945244055068836,0.9444789247800524,0.9483128241797932,0.935527878068282,0.9616550778515944,kr_vs_kp,4,KNN,hyperparameter
1769,0.952127659574468,0.9516534229681378,0.9545485452476064,0.94698604111853,0.9622589010131608,kr_vs_kp,5,KNN,hyperparameter
1770,0.9915519399249062,0.9915205398990604,0.9919182234055016,0.9916437787471684,0.9922119720491548,kr_vs_kp,0,SVC,hyperparameter
1771,0.993116395494368,0.9929641190374574,0.993430942259136,0.9904996819284122,0.9964028776978416,kr_vs_kp,1,SVC,hyperparameter
1772,0.9940550688360452,0.9940854122432476,0.994302027006104,0.9952009269891624,0.9934081442979588,kr_vs_kp,2,SVC,hyperparameter
1773,0.9937421777221528,0.9937558939944552,0.9939997375395908,0.9946013449402004,0.9934052757793764,kr_vs_kp,3,SVC,hyperparameter
