,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,task
40,0.9498432601880876,0.9484428406933512,0.9408673158636116,0.9343840227236074,0.9484428406933512,dna,4,LR,feat
41,0.9435736677115988,0.9426332861188106,0.9359499202667368,0.9300819042410512,0.9426332861188106,dna,5,LR,feat
42,0.7178538390379279,0.576378413577652,0.3267108167770419,0.5481481481481482,0.2327044025157232,phoneme,0,LR,feat
43,0.7123034227567068,0.5626568426595578,0.2883295194508009,0.5338983050847458,0.1974921630094044,phoneme,1,LR,feat
44,0.7012025901942646,0.557655589123867,0.2774049217002237,0.5344827586206896,0.1873111782477341,phoneme,2,LR,feat
45,0.7113783533765032,0.5701811098677939,0.3187772925764192,0.5104895104895105,0.2317460317460317,phoneme,3,LR,feat
46,0.7086031452358927,0.5555712403538491,0.2657342657342657,0.5327102803738317,0.1770186335403726,phoneme,4,LR,feat
47,0.7335800185013877,0.5921158897890826,0.3628318584070796,0.5466666666666666,0.271523178807947,phoneme,5,LR,feat
48,0.7575,0.7584994525627641,0.7539673207724211,0.7589972503824325,0.7584994525627641,mfeat_pixel,0,LR,feat
49,0.7775,0.7823502784478393,0.7789140061601929,0.7794058815384098,0.7823502784478393,mfeat_pixel,1,LR,feat
50,0.73,0.7396705677063296,0.7330493432143191,0.7372263388559558,0.7396705677063296,mfeat_pixel,2,LR,feat
51,0.7375,0.7392601496373883,0.7345948990760524,0.7353532537860533,0.7392601496373883,mfeat_pixel,3,LR,feat
52,0.77,0.766574320962592,0.7595895395275154,0.7690469344169776,0.766574320962592,mfeat_pixel,4,LR,feat
53,0.775,0.7585384322271044,0.756966060416189,0.7622519058298762,0.7585384322271044,mfeat_pixel,5,LR,feat
54,0.5452830188679245,0.5077448167925535,0.0436507936507936,0.7333333333333333,0.0224948875255623,banana,0,LR,feat
55,0.5452830188679245,0.5117943432955456,0.0836501901140684,0.6470588235294118,0.0447154471544715,banana,1,LR,feat
56,0.5575471698113208,0.5083857442348009,0.0329896907216494,1.0,0.0167714884696016,banana,2,LR,feat
57,0.5264150943396226,0.4767760548142805,0.0669144981412639,0.2647058823529412,0.0382978723404255,banana,3,LR,feat
58,0.5641509433962264,0.5090032073136854,0.0571428571428571,0.6666666666666666,0.0298507462686567,banana,4,LR,feat
59,0.5528301886792453,0.5103305785123967,0.0404858299595141,1.0,0.0206611570247933,banana,5,LR,feat
60,0.9225,0.9230396372111274,0.9231460091783548,0.9255071629836138,0.9230396372111274,mfeat_factors,0,LR,feat
61,0.92,0.9209615384615384,0.9201811572609208,0.920416826028,0.9209615384615384,mfeat_factors,1,LR,feat
62,0.9225,0.9215228773821984,0.9200850350810564,0.9197584506602692,0.9215228773821984,mfeat_factors,2,LR,feat
63,0.9425,0.9402462330720214,0.9412318850535936,0.9432961565771568,0.9402462330720214,mfeat_factors,3,LR,feat
64,0.945,0.9424212985345974,0.9425614654366248,0.944816537390908,0.9424212985345974,mfeat_factors,4,LR,feat
65,0.9325,0.9312626876957336,0.9306373280501352,0.9305504520768484,0.9312626876957336,mfeat_factors,5,LR,feat
66,0.8382193268186754,0.817142593689033,0.780559646539028,0.8952702702702703,0.6919060052219321,spambase,0,LR,feat
67,0.8686210640608035,0.8413269563144407,0.8094488188976378,0.9244604316546764,0.7198879551820728,spambase,1,LR,feat
68,0.8501628664495114,0.8259735506539138,0.7909090909090909,0.9190140845070424,0.6941489361702128,spambase,2,LR,feat
69,0.8403908794788274,0.8099491947567401,0.766295707472178,0.8892988929889298,0.6731843575418994,spambase,3,LR,feat
70,0.8436482084690554,0.8160444691164663,0.775,0.8825622775800712,0.6908077994428969,spambase,4,LR,feat
71,0.8610206297502715,0.8351721538074893,0.7981072555205048,0.8784722222222222,0.7312138728323699,spambase,5,LR,feat
72,0.4938271604938271,0.4845084745762712,0.6215384615384615,0.505,0.808,Hill_Valley_with_noise,0,LR,feat
73,0.5349794238683128,0.5278305084745762,0.6319218241042345,0.532967032967033,0.776,Hill_Valley_with_noise,1,LR,feat
74,0.51440329218107,0.5239661016949153,0.6312500000000001,0.5,0.8559322033898306,Hill_Valley_with_noise,2,LR,feat
75,0.5020576131687243,0.503725782414307,0.6451612903225806,0.5,0.9090909090909092,Hill_Valley_with_noise,3,LR,feat
76,0.4609053497942387,0.4617260533803008,0.549828178694158,0.4705882352941176,0.6611570247933884,Hill_Valley_with_noise,4,LR,feat
77,0.4567901234567901,0.4555277062728627,0.5849056603773585,0.4744897959183674,0.7622950819672131,Hill_Valley_with_noise,5,LR,feat
78,0.7448559670781894,0.7394957983193278,0.6477272727272727,1.0,0.4789915966386555,Hill_Valley_without_noise,0,LR,feat
79,0.7078189300411523,0.6896164830681355,0.5590062111801242,0.9574468085106383,0.3947368421052631,Hill_Valley_without_noise,1,LR,feat
80,0.6502057613168725,0.6626984126984127,0.4910179640718563,1.0,0.3253968253968254,Hill_Valley_without_noise,2,LR,feat
81,0.5596707818930041,0.6385135135135135,0.4338624338624339,1.0,0.277027027027027,Hill_Valley_without_noise,3,LR,feat
82,0.654320987654321,0.6692913385826772,0.5058823529411764,1.0,0.3385826771653543,Hill_Valley_without_noise,4,LR,feat
83,0.6831275720164609,0.6844262295081968,0.5389221556886228,1.0,0.3688524590163934,Hill_Valley_without_noise,5,LR,feat
84,0.728,0.729868994977288,0.7258985564339304,0.7253544241916335,0.729868994977288,waveform_40,0,LR,feat
85,0.733,0.729286375629838,0.7277966300133114,0.7287245530483343,0.729286375629838,waveform_40,1,LR,feat
86,0.71,0.712227751536962,0.7077480926932885,0.7070131660779361,0.712227751536962,waveform_40,2,LR,feat
87,0.712,0.7175431839493546,0.709181661512467,0.7101690540914708,0.7175431839493546,waveform_40,3,LR,feat
88,0.732,0.7348596071490462,0.7322635810173574,0.7311311151073691,0.7348596071490462,waveform_40,4,LR,feat
89,0.708,0.7183320766481867,0.707841856325295,0.7086365164058975,0.7183320766481867,waveform_40,5,LR,feat
90,0.628,0.6227890591858942,0.6156085477756753,0.6137929363349445,0.6227890591858942,waveform_21,0,LR,feat
91,0.632,0.627853479091541,0.6239351056631285,0.6223536805693137,0.627853479091541,waveform_21,1,LR,feat
92,0.644,0.6434314989922033,0.634209029142339,0.632359689289156,0.6434314989922033,waveform_21,2,LR,feat
93,0.626,0.6255446968472445,0.6180563707766403,0.6155668182444076,0.6255446968472445,waveform_21,3,LR,feat
94,0.601,0.6063499689383258,0.5982457933716924,0.595076731060869,0.6063499689383258,waveform_21,4,LR,feat
95,0.627,0.6275292315670774,0.6175559572121997,0.6162731644003966,0.6275292315670774,waveform_21,5,LR,feat
96,0.3333333333333333,0.3206349206349206,0.2718086883876358,0.3541025641025641,0.3206349206349206,movement_libras,0,LR,feat
97,0.2222222222222222,0.263015873015873,0.1658201058201058,0.1981532356532356,0.263015873015873,movement_libras,1,LR,feat
98,0.1805555555555555,0.2142857142857142,0.1229603729603729,0.1151771336553945,0.2142857142857142,movement_libras,2,LR,feat
99,0.3194444444444444,0.3484126984126984,0.228968253968254,0.2711363636363636,0.3484126984126984,movement_libras,3,LR,feat
100,0.3055555555555556,0.3256349206349205,0.2397840939017409,0.2713634513634514,0.3256349206349205,movement_libras,4,LR,feat
101,0.2777777777777778,0.2522222222222222,0.1888407888407888,0.2036691086691086,0.2522222222222222,movement_libras,5,LR,feat
102,0.7498057498057498,0.6676616221176676,0.6322402559701029,0.6413627934395478,0.6676616221176676,satimage,0,LR,feat
103,0.7552447552447552,0.651708952831305,0.6303035580171473,0.635423710956878,0.651708952831305,satimage,1,LR,feat
104,0.7591297591297591,0.6718055942245087,0.6520506623615155,0.7386507674791966,0.6718055942245087,satimage,2,LR,feat
105,0.7645687645687645,0.6630102209390244,0.6404286278689325,0.7250708660756359,0.6630102209390244,satimage,3,LR,feat
106,0.7606837606837606,0.6603965963074582,0.6405505045039177,0.6962898728969772,0.6603965963074582,satimage,4,LR,feat
107,0.7653457653457654,0.6704632765485982,0.6541247573101326,0.698858139037761,0.6704632765485982,satimage,5,LR,feat
108,0.8984375,0.8995604395604395,0.9039881831610044,0.8453038674033149,0.9714285714285714,chess,0,LR,feat
109,0.9109375,0.9049173386898256,0.9224489795918368,0.8782383419689119,0.97134670487106,chess,1,LR,feat
110,0.90625,0.9001187776697981,0.9184782608695652,0.8600508905852418,0.9854227405247812,chess,2,LR,feat
111,0.91875,0.9157817470026914,0.9265536723163842,0.8793565683646113,0.9791044776119404,chess,3,LR,feat
112,0.9015625,0.9010605883042306,0.9093525179856116,0.8471849865951743,0.9813664596273292,chess,4,LR,feat
113,0.9203125,0.918894621638524,0.9261939218523878,0.8815426997245179,0.975609756097561,chess,5,LR,feat
114,0.9,0.8989010989010989,0.9077809798270894,0.8536585365853658,0.9692307692307692,kr_vs_kp,0,LR,feat
115,0.8859375,0.8808698377256123,0.9001367989056087,0.8350253807106599,0.9762611275964392,kr_vs_kp,1,LR,feat
116,0.89375,0.8911045943304008,0.9044943820224718,0.8429319371727748,0.9757575757575756,kr_vs_kp,2,LR,feat
