,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall
199,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,-0.0012500000000000844,-0.0012500000000000844,0.015438562837189806,-0.0006637745338530232,0.03125000000000011
200,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,0.016874999999999973,0.016874999999999973,0.0011328017262579593,0.01733504295867716,-0.016250000000000098
201,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,0.020625000000000004,0.020625000000000004,0.021405545594017972,0.020788700672425775,0.022499999999999964
202,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,-0.01000000000000012,-0.01000000000000012,0.0005315841953837941,-0.009669664362417008,0.011249999999999982
203,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,-0.025000000000000022,-0.025000000000000022,-0.032632790984873816,-0.02367555016180911,-0.04250000000000009
204,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.09187500000000026,-0.09187500000000026,-0.0790358972304806,-0.10075437269411158,-0.060000000000000164
205,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.10750000000000004,-0.10750000000000015,-0.12264442503967116,-0.11747859023827611,-0.1262500000000002
206,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.073125,-0.073125,-0.08076940517057057,-0.0767506205742583,-0.08375000000000005
207,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.1050000000000001,-0.1050000000000001,-0.10923017130663482,-0.11336250510337342,-0.10499999999999993
208,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.08187500000000003,-0.08187500000000003,-0.09704004151982731,-0.0902918836834754,-0.10249999999999998
209,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,RF,feat,-0.08750000000000002,-0.08750000000000002,-0.08737632294671493,-0.09643734744857757,-0.0799999999999999
210,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0
211,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0
212,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0
213,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0
214,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0
215,agaricus_lepiota,KNN,feat,0.0,0.0,0.0,0.0,0.0
216,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0
217,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0
218,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0
219,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0
220,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0
221,agaricus_lepiota,SVC,feat,0.0,0.0,0.0,0.0,0.0
222,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0
223,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0
224,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0
225,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0
226,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0
227,agaricus_lepiota,NB,feat,0.0,0.0,0.0,0.0,0.0
228,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0
229,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0
230,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0
231,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0
232,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0
233,agaricus_lepiota,DT,feat,0.0,0.0,0.0,0.0,0.0
234,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0
235,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0
236,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0
237,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0
238,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0
239,agaricus_lepiota,RF,feat,0.0,0.0,0.0,0.0,0.0
240,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0
241,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0
242,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0
243,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0
244,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0
245,mushroom,KNN,feat,0.0,0.0,0.0,0.0,0.0
246,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0
247,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0
248,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0
249,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0
250,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0
251,mushroom,SVC,feat,0.0,0.0,0.0,0.0,0.0
252,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0
253,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0
254,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0
255,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0
256,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0
257,mushroom,NB,feat,0.0,0.0,0.0,0.0,0.0
258,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0
259,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0
260,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0
261,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0
262,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0
263,mushroom,DT,feat,0.0,0.0,0.0,0.0,0.0
264,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0
265,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0
266,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0
267,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0
268,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0
269,mushroom,RF,feat,0.0,0.0,0.0,0.0,0.0
270,ring,KNN,feat,0.003108108108108132,0.0031761424963154816,0.0008810765153982603,0.00493460758667752,-0.004016064257028162
271,ring,KNN,feat,0.0009459459459459918,0.0009981711353164169,-0.000746842498022704,0.002217373550347679,-0.004277001052337637
272,ring,KNN,feat,0.0028378378378378644,0.0028582745680493238,0.002094744556972561,0.0027781175518029055,0.0010698766545683691
273,ring,KNN,feat,0.0055405405405405395,0.005535197098848088,0.00548290689717934,0.004563986274571219,0.0066988094982424196
274,ring,KNN,feat,0.004999999999999893,0.005037521618990737,0.003618645066406745,0.0057188036081430305,0.0010709504685407767
275,ring,KNN,feat,0.0035135135135134776,0.003564086370550501,0.002057416746446883,0.004483173607170654,-0.0010659393366694303
276,ring,SVC,feat,-0.045405405405405386,-0.04455804116876799,-0.07950316022237497,-0.036363246960988804,-0.13413654618473897
277,ring,SVC,feat,-0.004729729729729681,-0.00543321446287337,0.06402755180284747,0.040785550499601975,0.07561475849923771
