,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,imputer,perc-miss
63,0.489375,0.489375,0.48047309360823964,0.48904789775891877,0.47250000000000003,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,SVC,False,KNN,0.05
64,0.5018750000000001,0.5018750000000001,0.5054223469766351,0.5007726925197749,0.51125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,SVC,True,KNN,0.05
65,0.496875,0.496875,0.4992050931359165,0.49589995546128496,0.50375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,SVC,False,KNN,0.05
66,0.495625,0.495625,0.48371223552074316,0.49564179350670035,0.47250000000000003,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,SVC,True,KNN,0.05
67,0.49687499999999996,0.49687500000000007,0.48177982667973174,0.4971338041706562,0.46749999999999997,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,SVC,False,KNN,0.05
68,0.50875,0.50875,0.5060900319579568,0.5091318348813682,0.50375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,SVC,True,KNN,0.05
69,0.51,0.5100000000000001,0.5072691168465109,0.5103798140751465,0.505,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,SVC,False,KNN,0.05
70,0.485,0.485,0.4803947533766308,0.4846637215305023,0.47625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,SVC,True,KNN,0.05
71,0.48937499999999995,0.48937499999999995,0.48770220790040875,0.4892687915258227,0.48624999999999996,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,SVC,False,KNN,0.05
72,0.489375,0.489375,0.48104855062864377,0.4886582687451046,0.47375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,True,mean,0.05
73,0.49,0.49,0.4820155878322677,0.48932572843318284,0.475,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,False,mean,0.05
74,0.505,0.505,0.4972087243627714,0.5051637128322963,0.49,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,True,mean,0.05
75,0.505,0.505,0.49659642289931316,0.505184743313738,0.48875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,False,mean,0.05
76,0.49375,0.49375,0.491981758141548,0.492886869977459,0.49250000000000005,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,True,mean,0.05
77,0.494375,0.494375,0.4923069496432101,0.49351396027846234,0.49250000000000005,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,False,mean,0.05
78,0.49250000000000005,0.49250000000000005,0.47686730660966026,0.4922008662612151,0.4625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,True,mean,0.05
79,0.49250000000000005,0.49250000000000005,0.47686730660966026,0.4922008662612151,0.4625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,False,mean,0.05
80,0.5131249999999999,0.513125,0.5076381710743468,0.5135872855841181,0.5025,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,True,mean,0.05
81,0.5131249999999999,0.513125,0.5064049579187107,0.51365685456257,0.5,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,False,mean,0.05
82,0.49374999999999997,0.49375,0.4903679467442432,0.4934018236747044,0.4875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,True,mean,0.05
83,0.49437499999999995,0.494375,0.4913334470606948,0.4940628460559875,0.48875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,False,mean,0.05
84,0.49812500000000004,0.498125,0.49129180233824227,0.49778673662313094,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,True,median,0.05
85,0.49812500000000004,0.498125,0.4912996814662181,0.4977993589617142,0.485,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,False,median,0.05
86,0.5025,0.5025,0.4954684876028923,0.5029333410297924,0.48875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,True,median,0.05
87,0.501875,0.501875,0.49519358669508007,0.5023708083244025,0.48875,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,False,median,0.05
88,0.49624999999999997,0.49624999999999997,0.49421752491806414,0.4960666857971846,0.49374999999999997,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,True,median,0.05
89,0.49687499999999996,0.49687500000000007,0.4945395476981942,0.49668186009656945,0.49374999999999997,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,2,LR,False,median,0.05
90,0.48562500000000003,0.48562500000000003,0.4715629462464301,0.4853327101094872,0.45875000000000005,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,True,median,0.05
91,0.485625,0.48562500000000003,0.4688039499470551,0.485073415129278,0.45375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,3,LR,False,median,0.05
92,0.5125,0.5125,0.503575981822154,0.513225060202134,0.495,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,True,median,0.05
93,0.515625,0.515625,0.5058120832948967,0.5165030553380123,0.49625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,4,LR,False,median,0.05
94,0.5,0.5,0.5010072082852385,0.49967637758026395,0.5025000000000001,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,True,median,0.05
95,0.49999999999999994,0.5,0.5003898313090005,0.4996831118737948,0.50125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,5,LR,False,median,0.05
96,0.49124999999999996,0.49124999999999996,0.48192141088985085,0.49044574738225577,0.47375,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,True,KNN,0.05
97,0.49249999999999994,0.49249999999999994,0.48385512241129913,0.49179179197795597,0.47625000000000006,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0,LR,False,KNN,0.05
98,0.49875,0.49874999999999997,0.4851434901564266,0.4988588689481822,0.47250000000000003,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,True,KNN,0.05
99,0.5,0.5,0.48774318401854755,0.5002047263453103,0.47625,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1,LR,False,KNN,0.05
