,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
118,0.6236428571428572,0.6159245714207248,0.6090686292120717,0.6291962306268652,0.6159245714207248,mnist,5,NB,True,5
119,0.6210714285714286,0.6134247858819655,0.6065415565004778,0.6262096188675448,0.6134247858819655,mnist,5,NB,False,5
120,0.6760714285714285,0.6719149288731222,0.6693532779746542,0.6855256865525635,0.6719149288731222,mnist,0,NB,True,10
121,0.6760714285714285,0.6719149288731222,0.6693532779746542,0.6855256865525635,0.6719149288731222,mnist,0,NB,False,10
122,0.6862142857142857,0.6789104887759844,0.6770711154684904,0.6941698991879688,0.6789104887759844,mnist,1,NB,True,10
123,0.6862142857142857,0.6789104887759844,0.6770711154684904,0.6941698991879688,0.6789104887759844,mnist,1,NB,False,10
124,0.6772857142857143,0.6711067134239446,0.6687405058265437,0.6856295708589408,0.6711067134239446,mnist,2,NB,True,10
125,0.6772857142857143,0.6711067134239446,0.6687405058265437,0.6856295708589408,0.6711067134239446,mnist,2,NB,False,10
126,0.6807857142857143,0.6741970625508398,0.6726790128070685,0.6889093432631875,0.6741970625508398,mnist,3,NB,True,10
127,0.6807857142857143,0.6741970625508398,0.6726790128070685,0.6889093432631875,0.6741970625508398,mnist,3,NB,False,10
128,0.6953571428571429,0.6881027180749326,0.6855737288495032,0.7018105361415679,0.6881027180749326,mnist,4,NB,True,10
129,0.6953571428571429,0.6881027180749326,0.6855737288495032,0.7018105361415679,0.6881027180749326,mnist,4,NB,False,10
130,0.6852142857142857,0.6790116743652038,0.6770546637097242,0.6931257696160424,0.6790116743652038,mnist,5,NB,True,10
131,0.6787857142857143,0.6718766548154924,0.6689699567098868,0.6883917337915297,0.6718766548154924,mnist,5,NB,False,10
132,0.7348571428571429,0.7309836799992587,0.7251847036975341,0.7580108197767149,0.7309836799992587,mnist,0,NB,True,20
133,0.7357142857142858,0.7318545522405728,0.7260783477522436,0.7595129245899952,0.7318545522405728,mnist,0,NB,False,20
134,0.7365,0.729662942816826,0.7257015751991122,0.7615497766697765,0.729662942816826,mnist,1,NB,True,20
135,0.7350714285714286,0.7283861719707845,0.7243999796466476,0.7603156267709232,0.7283861719707845,mnist,1,NB,False,20
136,0.7318571428571429,0.7270845788046472,0.7212653205784914,0.7567603579131078,0.7270845788046472,mnist,2,NB,True,20
137,0.7318571428571429,0.7270845788046472,0.7212653205784914,0.7567603579131078,0.7270845788046472,mnist,2,NB,False,20
138,0.7363571428571428,0.7310916506305354,0.7251825038990787,0.7611907507262681,0.7310916506305354,mnist,3,NB,True,20
139,0.7363571428571428,0.7310916506305354,0.7251825038990787,0.7611907507262681,0.7310916506305354,mnist,3,NB,False,20
140,0.747,0.740266469713955,0.7352531167965569,0.7686024988469244,0.740266469713955,mnist,4,NB,True,20
141,0.7473571428571428,0.7406268884144385,0.7355784150647177,0.769077954388418,0.7406268884144385,mnist,4,NB,False,20
142,0.7452142857142857,0.7388965511219646,0.7341844682471292,0.769236227317485,0.7388965511219646,mnist,5,NB,True,20
143,0.7452142857142857,0.7388965511219646,0.7341844682471292,0.769236227317485,0.7388965511219646,mnist,5,NB,False,20
144,0.5005714285714286,0.49738931838237976,0.49459648484541346,0.49256031747375156,0.49738931838237976,mnist,0,DT,True,1
145,0.5126428571428572,0.5097901943831535,0.5071523390045583,0.505448757817428,0.5097901943831535,mnist,0,DT,False,1
146,0.5068571428571429,0.500504349423819,0.498771930485309,0.49757535936307723,0.500504349423819,mnist,1,DT,True,1
147,0.5009285714285714,0.4948868447885405,0.4927760254529786,0.4912900307938314,0.4948868447885405,mnist,1,DT,False,1
148,0.5062142857142857,0.5008466245510913,0.4984593287672999,0.4968152058809913,0.5008466245510913,mnist,2,DT,True,1
149,0.5062142857142857,0.5008466245510913,0.4984593287672999,0.4968152058809913,0.5008466245510913,mnist,2,DT,False,1
150,0.5080714285714286,0.5019331574274407,0.5001503063017702,0.4988551623809653,0.5019331574274407,mnist,3,DT,True,1
151,0.5080714285714286,0.5019331574274407,0.5001503063017702,0.4988551623809653,0.5019331574274407,mnist,3,DT,False,1
152,0.5135714285714286,0.5070595103609749,0.5048627237936111,0.5035480935800646,0.5070595103609749,mnist,4,DT,True,1
153,0.5135714285714286,0.5070595103609749,0.5048627237936111,0.5035480935800646,0.5070595103609749,mnist,4,DT,False,1
154,0.5077857142857143,0.5043063298746391,0.5006463163164031,0.497863903352515,0.5043063298746391,mnist,5,DT,True,1
155,0.5182857142857142,0.5149142934677812,0.5115516987370308,0.5088717953954097,0.5149142934677812,mnist,5,DT,False,1
156,0.724,0.7226545549432168,0.722467391751911,0.7226074532143005,0.7226545549432168,mnist,0,DT,True,5
157,0.7191428571428572,0.7177750459463944,0.7179612628937411,0.7183558962497152,0.7177750459463944,mnist,0,DT,False,5
158,0.7362142857142857,0.7322743545602735,0.7322266245309615,0.7324612789233442,0.7322743545602735,mnist,1,DT,True,5
159,0.7419285714285714,0.7383149011696314,0.7385071454159025,0.7388467960704467,0.7383149011696314,mnist,1,DT,False,5
160,0.7302857142857143,0.7276714614494795,0.7277402340045878,0.7279614346451535,0.7276714614494795,mnist,2,DT,True,5
161,0.7315,0.7289478628150446,0.729035637647576,0.7292608015199413,0.7289478628150446,mnist,2,DT,False,5
162,0.7305,0.7269734809747608,0.7271905056489166,0.7275543570952041,0.7269734809747608,mnist,3,DT,True,5
163,0.739,0.7357528599661092,0.7360114429339029,0.7363826684533953,0.7357528599661092,mnist,3,DT,False,5
164,0.7371428571428571,0.7332118600322655,0.7332450008477813,0.7335167397966211,0.7332118600322655,mnist,4,DT,True,5
165,0.7316428571428572,0.7273898973025484,0.7276370590222876,0.7283268364596375,0.7273898973025484,mnist,4,DT,False,5
166,0.7387857142857143,0.7366227693270077,0.7367967914080602,0.7370818341207266,0.7366227693270077,mnist,5,DT,True,5
167,0.7364285714285714,0.7341830931337885,0.7343445671675896,0.7347289271977449,0.7341830931337885,mnist,5,DT,False,5
168,0.7866428571428571,0.7852160724961694,0.7852699567213416,0.7854960417375433,0.7852160724961694,mnist,0,DT,True,10
169,0.7866428571428571,0.7852160724961694,0.7852699567213416,0.7854960417375433,0.7852160724961694,mnist,0,DT,False,10
170,0.7919285714285714,0.788608055183708,0.7889946630594529,0.7895028284340182,0.788608055183708,mnist,1,DT,True,10
171,0.7919285714285714,0.788608055183708,0.7889946630594529,0.7895028284340182,0.788608055183708,mnist,1,DT,False,10
