Unnamed: 0,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,ds,iteration,alg,leak,perc
43,0.7532228360957642,0.7417251762854462,0.6789137380191693,0.8709016393442623,0.556282722513089,agaricus_lepiota,3,LR,False,1
44,0.7642725598526704,0.7606536832834668,0.710843373493976,0.8888888888888888,0.5922208281053952,agaricus_lepiota,4,LR,True,1
45,0.7642725598526704,0.7606536832834668,0.710843373493976,0.8888888888888888,0.5922208281053952,agaricus_lepiota,4,LR,False,1
46,0.7556783302639656,0.7506433385423894,0.6905132192846035,0.9006085192697769,0.5598991172761665,agaricus_lepiota,5,LR,True,1
47,0.7556783302639656,0.7506433385423894,0.6905132192846035,0.9006085192697769,0.5598991172761665,agaricus_lepiota,5,LR,False,1
48,0.7673419275629221,0.7639536287887936,0.7358885017421601,0.8110599078341014,0.673469387755102,agaricus_lepiota,0,LR,True,5
49,0.7673419275629221,0.7639536287887936,0.7358885017421601,0.8110599078341014,0.673469387755102,agaricus_lepiota,0,LR,False,5
50,0.7759361571516268,0.7758814307894062,0.7538772757923129,0.8355754857997011,0.6867321867321867,agaricus_lepiota,1,LR,True,5
51,0.7759361571516268,0.7758814307894062,0.7538772757923129,0.8355754857997011,0.6867321867321867,agaricus_lepiota,1,LR,False,5
52,0.7875997544505832,0.7844711262716213,0.7600554785020803,0.8340943683409436,0.6980891719745222,agaricus_lepiota,2,LR,True,5
53,0.7875997544505832,0.7844711262716213,0.7600554785020803,0.8340943683409436,0.6980891719745222,agaricus_lepiota,2,LR,False,5
54,0.7704112952731738,0.7651696274551343,0.7355021216407356,0.8,0.680628272251309,agaricus_lepiota,3,LR,True,5
55,0.7704112952731738,0.7651696274551343,0.7355021216407356,0.8,0.680628272251309,agaricus_lepiota,3,LR,False,5
56,0.7949662369551872,0.7934464277096805,0.775235531628533,0.8359941944847605,0.7227101631116688,agaricus_lepiota,4,LR,True,5
57,0.7949662369551872,0.7934464277096805,0.775235531628533,0.8359941944847605,0.7227101631116688,agaricus_lepiota,4,LR,False,5
58,0.7753222836095764,0.7731224771776972,0.7493150684931507,0.8200899550224887,0.6897856242118537,agaricus_lepiota,5,LR,True,5
59,0.7753222836095764,0.7731224771776972,0.7493150684931507,0.8200899550224887,0.6897856242118537,agaricus_lepiota,5,LR,False,5
60,0.8004910988336402,0.7985765608018356,0.7828991315965265,0.8218793828892006,0.7474489795918368,agaricus_lepiota,0,LR,True,10
61,0.8004910988336402,0.7985765608018356,0.7828991315965265,0.8218793828892006,0.7474489795918368,agaricus_lepiota,0,LR,False,10
